Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000055006,02/13/2019,1239,02/13/2019,1239,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RAINIER VIEW
2019000055012,02/13/2019,1251,02/13/2019,1316,TRESPASS,TRESPASS,EAST,E,E1,CAPITOL HILL
2019000055061,02/06/2019,300,02/13/2019,1324,CAR PROWL,THEFT-CARPROWL,NORTH,N,N1,BITTERLAKE
2019000055064,02/13/2019,1137,02/13/2019,1137,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2019000055070,02/13/2019,1333,02/13/2019,1525,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000055189,02/13/2019,1447,02/13/2019,1447,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,NORTH,B,B2,FREMONT
2019000055199,02/12/2019,1500,02/13/2019,1500,WEAPON,WEAPON-POSSESSION,NORTH,L,L1,LAKECITY
2019000055213,02/13/2019,1039,02/13/2019,1919,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,BELLTOWN
2019000055249,02/13/2019,1200,02/13/2019,1529,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,Q,Q1,MAGNOLIA
2019000055262,02/10/2019,900,02/13/2019,1530,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N3,NORTHGATE
2019000055286,02/13/2019,1554,02/13/2019,1554,TRESPASS,TRESPASS,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
2019000055288,02/13/2019,1550,02/13/2019,1550,TRESPASS,TRESPASS,WEST,D,D2,SLU/CASCADE
2019000055292,02/13/2019,1554,02/13/2019,1624,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000055308,02/13/2019,1150,02/13/2019,1609,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH
2019000055311,02/13/2019,1610,02/13/2019,1624,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000055329,02/12/2019,1730,02/13/2019,1603,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2019000055339,02/13/2019,1623,02/13/2019,1626,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,NORTH DELRIDGE
